Team Name,Defensive Rating
TBL,0.03116055148884048
PIT,-0.04594857610799545
VGK,0.030890554594605317
CAR,0.09348039659381369
TOR,0.03227409185087145
BOS,0.04845564744766125
CGY,-0.058994042167255144
LAK,0.02087075126552598
VAN,0.07872258329793966
BUF,-0.004914467425717779
CBJ,-0.11510539138356732
NJD,0.01253852949033659
DAL,0.08012177035946635
MIN,0.030102662628810818
NSH,0.008428651577025126
SJS,-0.12311116044358243
WSH,-0.00015001796621928788
OTT,-0.04691463998246457
WPG,0.04266468585286701
DET,-0.04987541617723515
MTL,-0.0851848791858202
NYI,0.033340363145876656
STL,-0.03148925736346816
EDM,0.05850533318376391
ANA,-0.11073960135759084
NYR,0.08007875304565992
PHI,-0.03040852922632274
SEA,0.013031108591662602
FLA,0.05854385930224335
COL,0.023861085005010163
UTA,-0.010897801372691498
CHI,-0.09278883554289657
