gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020021,2,False,2024-10-11,WPG,Winnipeg Jets,True,CHI,Chicago Blackhawks,WPG,Winnipeg Jets,1,2,1.9540000000000002,0.0,0.432,0.0,0.0,0.0,1.663,1.0,0.116,0.0,0.0,0.0,2,0,0,1,0,0
2024020022,2,False,2024-10-11,VAN,Vancouver Canucks,True,PHI,Philadelphia Flyers,VAN,Vancouver Canucks,3,2,1.497,2.0,1.303,0.0,0.011,0.0,0.959,1.0,1.016,1.0,0.118,0.0,2,0,0,1,1,0
2024020023,2,False,2024-10-11,VGK,Vegas Golden Knights,True,STL,St. Louis Blues,VGK,Vegas Golden Knights,3,4,2.38,4.0,0.756,0.0,0.0,0.0,1.5110000000000001,2.0,0.5680000000000001,1.0,0.0,0.0,4,0,0,2,1,0
2024020024,2,False,2024-10-12,BOS,Boston Bruins,True,LAK,Los Angeles Kings,BOS,Boston Bruins,1,2,0.768,0.0,0.212,0.0,0.031,0.0,1.1500000000000001,1.0,0.131,0.0,0.617,0.0,2,0,0,1,0,0
2024020025,2,False,2024-10-12,BUF,Buffalo Sabres,True,FLA,Florida Panthers,BUF,Buffalo Sabres,2,5,2.828,4.0,0.251,0.0,0.022,0.0,0.918,1.0,0.92,1.0,0.089,0.0,5,0,0,1,1,0
2024020026,2,False,2024-10-12,TOR,Toronto Maple Leafs,True,PIT,Pittsburgh Penguins,TOR,Toronto Maple Leafs,2,4,1.428,3.0,0.447,0.0,0.0,0.0,0.962,1.0,0.541,1.0,0.193,0.0,4,0,0,1,1,0
2024020027,2,False,2024-10-12,MTL,Montréal Canadiens,True,OTT,Ottawa Senators,MTL,Montréal Canadiens,1,4,1.621,3.0,0.917,1.0,0.018,0.0,1.974,1.0,0.048,0.0,0.016,0.0,3,1,0,1,0,0
2024020028,2,False,2024-10-12,DET,Detroit Red Wings,True,NSH,Nashville Predators,DET,Detroit Red Wings,0,3,1.762,2.0,0.713,0.0,0.041,0.0,2.3770000000000002,0.0,0.173,0.0,0.011,0.0,3,0,0,0,0,0
2024020030,2,False,2024-10-12,NYR,New York Rangers,True,UTA,Arizona Coyotes,NYR,New York Rangers,6,5,3.0260000000000002,4.0,0.43,1.0,0.019,0.0,1.687,3.0,0.835,1.0,0.0,0.0,4,1,0,5,1,0
2024020031,2,False,2024-10-12,WSH,Washington Capitals,True,NJD,New Jersey Devils,WSH,Washington Capitals,5,3,1.419,2.0,0.15100000000000002,1.0,0.183,0.0,1.9180000000000001,4.0,0.076,0.0,0.0,0.0,2,1,0,5,0,0
